race_id,race_date,course,distance,surface,condition,horse_no,horse_name,age,sex,weight,weight_diff,jockey,trainer,odds_win,popularity,finish_pos,time_sec,prize
4,2021-12-08,小倉,2500,ダート,稍重,11,馬0004_11,6,牡,488,4,騎手23,調教師04,29.2,9,7,211.6,0
4,2021-12-08,小倉,2500,ダート,稍重,12,馬0004_12,4,騸,455,-5,騎手28,調教師20,48.0,12,11,213.1,0
4,2021-12-08,小倉,2500,ダート,稍重,13,馬0004_13,7,牡,515,-2,騎手07,調教師32,3.9,1,1,210.1,3000
4,2021-12-08,小倉,2500,ダート,稍重,14,馬0004_14,7,牡,519,-2,騎手29,調教師48,359.0,14,13,213.4,0
4,2021-12-08,小倉,2500,ダート,稍重,15,馬0004_15,6,騸,491,-9,騎手03,調教師43,5.4,3,3,211.0,750
5,2019-07-22,東京,2400,ダート,良,1,馬0005_01,4,騸,486,10,騎手03,調教師38,70.6,8,7,206.2,0
5,2019-07-22,東京,2400,ダート,良,2,馬0005_02,7,牡,469,-3,騎手14,調教師04,4.2,3,3,204.7,750
5,2019-07-22,東京,2400,ダート,良,3,馬0005_03,7,騸,492,-3,騎手30,調教師43,2.4,1,2,204.3,1200
5,2019-07-22,東京,2400,ダート,良,4,馬0005_04,4,牝,464,3,騎手01,調教師37,4.6,4,4,204.6,450
5,2019-07-22,東京,2400,ダート,良,5,馬0005_05,3,牡,493,-6,騎手23,調教師13,3.4,2,1,203.9,3000
5,2019-07-22,東京,2400,ダート,良,6,馬0005_06,2,牝,491,-4,騎手08,調教師31,39.1,5,5,205.2,300
5,2019-07-22,東京,2400,ダート,良,7,馬0005_07,4,牡,464,8,騎手11,調教師23,46.2,6,8,206.1,0
5,2019-07-22,東京,2400,ダート,良,8,馬0005_08,6,牡,486,-3,騎手05,調教師29,67.6,7,6,205.4,0
5,2019-07-22,東京,2400,ダート,良,9,馬0005_09,6,騸,514,-6,騎手16,調教師44,999.9,10,10,206.5,0
5,2019-07-22,東京,2400,ダート,良,10,馬0005_10,4,牡,543,-2,騎手20,調教師22,256.6,9,9,206.7,0
6,2020-02-08,阪神,2100,芝,良,1,馬0006_01,7,牝,469,-2,騎手15,調教師09,18.8,8,7,188.0,0
6,2020-02-08,阪神,2100,芝,良,2,馬0006_02,7,牡,468,-2,騎手16,調教師08,43.8,10,10,188.8,0
6,2020-02-08,阪神,2100,芝,良,3,馬0006_03,7,牡,423,-4,騎手11,調教師15,77.0,11,12,188.9,0
6,2020-02-08,阪神,2100,芝,良,4,馬0006_04,4,牡,455,-5,騎手21,調教師25,12.4,6,8,188.2,0
6,2020-02-08,阪神,2100,芝,良,5,馬0006_05,6,牡,454,0,騎手14,調教師18,3.5,1,1,186.4,3000
6,2020-02-08,阪神,2100,芝,良,6,馬0006_06,3,牝,457,3,騎手07,調教師14,19.6,9,5,187.3,300
6,2020-02-08,阪神,2100,芝,良,7,馬0006_07,3,牡,497,-6,騎手24,調教師13,6.2,4,3,186.4,750
6,2020-02-08,阪神,2100,芝,良,8,馬0006_08,4,牝,449,-9,騎手19,調教師11,5.1,3,6,187.6,0
6,2020-02-08,阪神,2100,芝,良,9,馬0006_09,5,牝,477,6,騎手28,調教師27,999.9,13,13,189.6,0
6,2020-02-08,阪神,2100,芝,良,10,馬0006_10,6,牡,456,8,騎手23,調教師37,4.5,2,4,187.1,450
6,2020-02-08,阪神,2100,芝,良,11,馬0006_11,3,牡,452,2,騎手09,調教師44,86.4,12,11,189.1,0
6,2020-02-08,阪神,2100,芝,良,12,馬0006_12,7,牡,475,1,騎手20,調教師02,10.1,5,9,188.5,0
6,2020-02-08,阪神,2100,芝,良,13,馬0006_13,7,牡,439,-13,騎手29,調教師23,18.1,7,2,186.5,1200
7,2019-02-17,函館,1600,ダート,稍重,1,馬0007_01,3,牡,448,3,騎手23,調教師25,1.8,1,2,156.3,1200
7,2019-02-17,函館,1600,ダート,稍重,2,馬0007_02,7,牡,504,6,騎手07,調教師44,2.8,2,3,156.7,750
7,2019-02-17,函館,1600,ダート,稍重,3,馬0007_03,7,牡,458,-6,騎手29,調教師01,25.0,6,8,158.0,0
7,2019-02-17,函館,1600,ダート,稍重,4,馬0007_04,6,牝,507,0,騎手08,調教師29,49.7,8,9,158.3,0
7,2019-02-17,函館,1600,ダート,稍重,5,馬0007_05,6,牡,485,-1,騎手03,調教師07,15.6,4,4,157.5,450
7,2019-02-17,函館,1600,ダート,稍重,6,馬0007_06,4,牡,464,1,騎手24,調教師40,8.1,3,1,156.0,3000
7,2019-02-17,函館,1600,ダート,稍重,7,馬0007_07,5,牝,486,-6,騎手16,調教師28,70.6,9,10,158.9,0
7,2019-02-17,函館,1600,ダート,稍重,8,馬0007_08,6,騸,487,-6,騎手04,調教師11,121.8,10,7,158.0,0
7,2019-02-17,函館,1600,ダート,稍重,9,馬0007_09,3,牝,480,0,騎手17,調教師20,22.7,5,6,157.4,0
7,2019-02-17,函館,1600,ダート,稍重,10,馬0007_10,2,牝,489,9,騎手19,調教師46,26.2,7,5,157.4,300
8,2022-06-13,京都,2400,芝,良,1,馬0008_01,2,牡,474,0,騎手16,調教師13,12.1,8,7,205.6,0
8,2022-06-13,京都,2400,芝,良,2,馬0008_02,6,騸,452,-7,騎手06,調教師07,9.9,7,8,206.1,0
8,2022-06-13,京都,2400,芝,良,3,馬0008_03,7,牡,511,-2,騎手02,調教師22,305.3,10,10,206.9,0
8,2022-06-13,京都,2400,芝,良,4,馬0008_04,6,牝,466,-2,騎手21,調教師21,5.3,3,5,205.3,300
8,2022-06-13,京都,2400,芝,良,5,馬0008_05,7,牡,506,-4,騎手07,調教師23,8.0,5,6,205.6,0
8,2022-06-13,京都,2400,芝,良,6,馬0008_06,6,牡,489,0,騎手01,調教師08,4.3,1,1,204.0,3000
8,2022-06-13,京都,2400,芝,良,7,馬0008_07,3,牡,464,12,騎手08,調教師47,4.7,2,2,204.4,1200
8,2022-06-13,京都,2400,芝,良,8,馬0008_08,6,牡,453,-4,騎手26,調教師50,9.6,6,4,205.2,450
8,2022-06-13,京都,2400,芝,良,9,馬0008_09,2,牡,464,5,騎手09,調教師03,5.5,4,3,204.8,750
8,2022-06-13,京都,2400,芝,良,10,馬0008_10,5,牡,493,8,騎手04,調教師41,53.0,9,9,206.6,0
9,2023-03-31,中山,1900,芝,稍重,1,馬0009_01,6,牝,520,0,騎手14,調教師33,25.4,6,6,175.7,0
9,2023-03-31,中山,1900,芝,稍重,2,馬0009_02,3,牡,445,-1,騎手06,調教師17,10.5,5,3,174.7,750
9,2023-03-31,中山,1900,芝,稍重,3,馬0009_03,5,牡,480,-1,騎手24,調教師07,8.7,3,4,175.0,450
9,2023-03-31,中山,1900,芝,稍重,4,馬0009_04,4,騸,455,-6,騎手25,調教師28,1.9,1,2,174.3,1200
9,2023-03-31,中山,1900,芝,稍重,5,馬0009_05,4,牝,444,2,騎手19,調教師43,3.1,2,1,174.1,3000
9,2023-03-31,中山,1900,芝,稍重,6,馬0009_06,5,牡,498,2,騎手15,調教師37,9.4,4,5,175.1,300
9,2023-03-31,中山,1900,芝,稍重,7,馬0009_07,4,牡,488,-1,騎手11,調教師38,54.0,8,8,175.9,0
9,2023-03-31,中山,1900,芝,稍重,8,馬0009_08,3,騸,524,7,騎手26,調教師03,53.9,7,7,175.9,0
10,2019-10-25,福島,1800,ダート,重,1,馬0010_01,5,牡,482,-4,騎手17,調教師03,227.8,11,9,170.4,0
10,2019-10-25,福島,1800,ダート,重,2,馬0010_02,4,騸,456,2,騎手05,調教師20,999.9,14,14,171.8,0
10,2019-10-25,福島,1800,ダート,重,3,馬0010_03,7,牝,482,14,騎手04,調教師12,212.4,10,12,171.1,0
10,2019-10-25,福島,1800,ダート,重,4,馬0010_04,6,牝,490,0,騎手25,調教師18,30.0,6,5,169.2,300
10,2019-10-25,福島,1800,ダート,重,5,馬0010_05,3,牡,516,-2,騎手28,調教師30,105.8,8,8,170.5,0
10,2019-10-25,福島,1800,ダート,重,6,馬0010_06,5,牡,453,2,騎手07,調教師41,8.5,3,1,167.8,3000
10,2019-10-25,福島,1800,ダート,重,7,馬0010_07,3,牡,475,-6,騎手19,調教師26,28.3,5,6,169.5,0
10,2019-10-25,福島,1800,ダート,重,8,馬0010_08,4,牡,485,7,騎手30,調教師24,1.3,1,2,168.4,1200
10,2019-10-25,福島,1800,ダート,重,9,馬0010_09,7,騸,515,1,騎手03,調教師21,45.8,7,7,169.7,0
10,2019-10-25,福島,1800,ダート,重,10,馬0010_10,5,牡,482,-2,騎手20,調教師13,246.4,12,11,170.6,0
10,2019-10-25,福島,1800,ダート,重,11,馬0010_11,6,牝,496,-1,騎手27,調教師23,170.1,9,10,170.7,0
10,2019-10-25,福島,1800,ダート,重,12,馬0010_12,3,牝,484,-3,騎手13,調教師27,13.3,4,3,168.6,750
10,2019-10-25,福島,1800,ダート,重,13,馬0010_13,5,牡,492,5,騎手08,調教師02,5.1,2,4,168.8,450
10,2019-10-25,福島,1800,ダート,重,14,馬0010_14,3,牡,494,3,騎手29,調教師32,799.9,13,13,171.5,0
11,2020-10-07,東京,1400,芝,稍重,1,馬0011_01,5,牡,442,-5,騎手12,調教師33,13.5,4,6,145.6,0
11,2020-10-07,東京,1400,芝,稍重,2,馬0011_02,4,牝,469,-2,騎手29,調教師17,253.8,13,11,146.9,0
11,2020-10-07,東京,1400,芝,稍重,3,馬0011_03,6,牡,477,-5,騎手21,調教師30,13.5,5,4,144.9,450
11,2020-10-07,東京,1400,芝,稍重,4,馬0011_04,2,牝,483,2,騎手19,調教師50,3.0,2,1,144.0,3000
11,2020-10-07,東京,1400,芝,稍重,5,馬0011_05,6,牡,501,-4,騎手07,調教師02,2.6,1,2,144.4,1200
11,2020-10-07,東京,1400,芝,稍重,6,馬0011_06,4,牡,472,2,騎手09,調教師22,40.1,9,8,146.4,0
11,2020-10-07,東京,1400,芝,稍重,7,馬0011_07,2,騸,518,6,騎手13,調教師38,15.4,6,3,144.4,750
11,2020-10-07,東京,1400,芝,稍重,8,馬0011_08,4,牡,529,-7,騎手05,調教師07,252.5,12,12,147.5,0
11,2020-10-07,東京,1400,芝,稍重,9,馬0011_09,2,牡,453,-7,騎手30,調教師46,18.4,8,5,145.3,300
11,2020-10-07,東京,1400,芝,稍重,10,馬0011_10,5,牡,463,-4,騎手11,調教師09,81.0,10,10,147.0,0
11,2020-10-07,東京,1400,芝,稍重,11,馬0011_11,3,牡,537,1,騎手18,調教師31,18.2,7,9,146.2,0
11,2020-10-07,東京,1400,芝,稍重,12,馬0011_12,4,騸,462,-15,騎手16,調教師03,244.1,11,13,147.6,0
11,2020-10-07,東京,1400,芝,稍重,13,馬0011_13,3,牡,423,-7,騎手26,調教師43,6.1,3,7,146.1,0
12,2020-04-10,新潟,1300,ダート,良,1,馬0012_01,2,牡,516,-2,騎手25,調教師50,4.1,3,1,137.7,3000
12,2020-04-10,新潟,1300,ダート,良,2,馬0012_02,6,牝,480,-3,騎手17,調教師22,5.4,4,2,138.3,1200
12,2020-04-10,新潟,1300,ダート,良,3,馬0012_03,7,牡,509,-13,騎手13,調教師07,253.5,10,9,140.2,0
12,2020-04-10,新潟,1300,ダート,良,4,馬0012_04,5,牡,481,1,騎手08,調教師11,52.7,8,8,139.7,0
12,2020-04-10,新潟,1300,ダート,良,5,馬0012_05,7,牡,500,1,騎手10,調教師40,51.9,7,7,139.9,0
12,2020-04-10,新潟,1300,ダート,良,6,馬0012_06,7,牝,426,1,騎手06,調教師28,2.4,1,4,139.0,450
12,2020-04-10,新潟,1300,ダート,良,7,馬0012_07,2,騸,451,-5,騎手11,調教師43,19.2,5,5,138.9,300
12,2020-04-10,新潟,1300,ダート,良,8,馬0012_08,7,牡,416,3,騎手19,調教師32,3.9,2,3,138.8,750
12,2020-04-10,新潟,1300,ダート,良,9,馬0012_09,3,騸,455,7,騎手23,調教師18,178.8,9,10,140.9,0
12,2020-04-10,新潟,1300,ダート,良,10,馬0012_10,5,牡,450,4,騎手14,調教師38,24.3,6,6,139.5,0
13,2019-03-12,中京,1800,ダート,不良,1,馬0013_01,6,牡,498,11,騎手18,調教師28,50.6,7,8,170.1,0
13,2019-03-12,中京,1800,ダート,不良,2,馬0013_02,7,牝,467,-2,騎手11,調教師02,39.5,6,4,169.0,450
13,2019-03-12,中京,1800,ダート,不良,3,馬0013_03,6,牡,436,5,騎手13,調教師35,23.1,5,6,169.7,0
13,2019-03-12,中京,1800,ダート,不良,4,馬0013_04,4,牡,451,7,騎手24,調教師43,1.2,1,1,168.4,3000
13,2019-03-12,中京,1800,ダート,不良,5,馬0013_05,2,牝,500,2,騎手14,調教師22,93.5,8,5,168.9,300
13,2019-03-12,中京,1800,ダート,不良,6,馬0013_06,6,牡,489,3,騎手25,調教師10,7.7,2,3,168.6,750
13,2019-03-12,中京,1800,ダート,不良,7,馬0013_07,7,騸,510,-17,騎手23,調教師31,7.9,3,2,168.4,1200
13,2019-03-12,中京,1800,ダート,不良,8,馬0013_08,7,牡,436,0,騎手16,調教師44,16.7,4,7,169.7,0
14,2023-08-06,東京,2200,芝,良,1,馬0014_01,2,牡,463,2,騎手22,調教師44,227.1,14,13,195.4,0
14,2023-08-06,東京,2200,芝,良,2,馬0014_02,4,牡,476,1,騎手17,調教師40,1.4,1,1,192.2,3000
14,2023-08-06,東京,2200,芝,良,3,馬0014_03,2,騸,465,-1,騎手05,調教師34,31.4,7,4,193.0,450
14,2023-08-06,東京,2200,芝,良,4,馬0014_04,4,牝,470,8,騎手04,調教師50,15.0,4,8,193.9,0
14,2023-08-06,東京,2200,芝,良,5,馬0014_05,3,牝,524,2,騎手18,調教師42,36.3,8,11,195.1,0
14,2023-08-06,東京,2200,芝,良,6,馬0014_06,7,騸,458,2,騎手29,調教師08,25.1,5,5,193.3,300
14,2023-08-06,東京,2200,芝,良,7,馬0014_07,4,牝,445,-8,騎手27,調教師07,392.4,15,16,196.7,0
14,2023-08-06,東京,2200,芝,良,8,馬0014_08,5,牡,508,0,騎手15,調教師19,413.2,16,12,195.0,0
14,2023-08-06,東京,2200,芝,良,9,馬0014_09,3,牡,532,-8,騎手20,調教師36,25.3,6,6,193.6,0
14,2023-08-06,東京,2200,芝,良,10,馬0014_10,7,牡,491,3,騎手28,調教師26,75.7,12,14,196.2,0
14,2023-08-06,東京,2200,芝,良,11,馬0014_11,6,牝,459,5,騎手23,調教師28,38.6,9,10,194.5,0
14,2023-08-06,東京,2200,芝,良,12,馬0014_12,6,牡,484,-3,騎手16,調教師23,50.3,10,15,196.1,0
14,2023-08-06,東京,2200,芝,良,13,馬0014_13,6,牝,471,-6,騎手12,調教師11,6.5,2,2,192.3,1200
14,2023-08-06,東京,2200,芝,良,14,馬0014_14,5,牝,497,-7,騎手11,調教師12,68.3,11,9,194.8,0
14,2023-08-06,東京,2200,芝,良,15,馬0014_15,3,牡,488,-1,騎手30,調教師46,9.5,3,3,192.2,750
14,2023-08-06,東京,2200,芝,良,16,馬0014_16,3,牡,478,11,騎手09,調教師09,82.1,13,7,194.0,0
15,2018-10-08,中京,1000,芝,稍重,1,馬0015_01,5,騸,488,7,騎手28,調教師11,87.7,12,14,123.8,0
15,2018-10-08,中京,1000,芝,稍重,2,馬0015_02,5,牝,462,0,騎手12,調教師46,48.3,11,12,123.5,0
15,2018-10-08,中京,1000,芝,稍重,3,馬0015_03,2,牡,455,-2,騎手19,調教師26,21.5,9,4,121.0,450
15,2018-10-08,中京,1000,芝,稍重,4,馬0015_04,4,騸,475,-4,騎手11,調教師05,16.3,6,5,121.1,300
15,2018-10-08,中京,1000,芝,稍重,5,馬0015_05,2,牡,485,9,騎手24,調教師32,15.9,5,7,121.5,0
15,2018-10-08,中京,1000,芝,稍重,6,馬0015_06,4,牝,508,7,騎手05,調教師13,305.2,16,16,124.2,0
15,2018-10-08,中京,1000,芝,稍重,7,馬0015_07,3,牡,492,1,騎手20,調教師12,10.3,4,10,122.7,0
15,2018-10-08,中京,1000,芝,稍重,8,馬0015_08,3,牝,487,-1,騎手02,調教師01,18.7,7,6,121.5,0
15,2018-10-08,中京,1000,芝,稍重,9,馬0015_09,3,騸,493,17,騎手06,調教師17,35.6,10,13,123.7,0
15,2018-10-08,中京,1000,芝,稍重,10,馬0015_10,2,牡,460,3,騎手04,調教師41,9.5,2,3,120.6,750
15,2018-10-08,中京,1000,芝,稍重,11,馬0015_11,4,牡,484,6,騎手17,調教師50,185.2,15,15,124.1,0
15,2018-10-08,中京,1000,芝,稍重,12,馬0015_12,6,牡,489,6,騎手29,調教師16,166.8,13,9,122.5,0
15,2018-10-08,中京,1000,芝,稍重,13,馬0015_13,2,牝,479,1,騎手23,調教師22,1.7,1,1,119.9,3000
15,2018-10-08,中京,1000,芝,稍重,14,馬0015_14,5,牝,504,0,騎手13,調教師38,20.2,8,8,122.1,0
15,2018-10-08,中京,1000,芝,稍重,15,馬0015_15,7,牝,419,3,騎手27,調教師44,179.1,14,11,122.7,0
15,2018-10-08,中京,1000,芝,稍重,16,馬0015_16,6,牝,477,7,騎手07,調教師10,10.2,3,2,120.3,1200
16,2023-07-04,函館,2500,ダート,良,1,馬0016_01,6,牡,451,-2,騎手27,調教師15,9.3,5,5,211.1,300
16,2023-07-04,函館,2500,ダート,良,2,馬0016_02,3,牝,485,11,騎手12,調教師12,4.9,2,2,210.0,1200
16,2023-07-04,函館,2500,ダート,良,3,馬0016_03,2,牡,475,-3,騎手21,調教師36,70.3,8,8,212.3,0
16,2023-07-04,函館,2500,ダート,良,4,馬0016_04,5,牝,477,-6,騎手09,調教師48,34.4,7,7,211.7,0
16,2023-07-04,函館,2500,ダート,良,5,馬0016_05,6,牡,495,-8,騎手11,調教師39,8.6,4,6,211.6,0
16,2023-07-04,函館,2500,ダート,良,6,馬0016_06,7,牡,463,11,騎手01,調教師44,2.0,1,1,210.1,3000
16,2023-07-04,函館,2500,ダート,良,7,馬0016_07,2,牝,466,0,騎手25,調教師11,5.3,3,4,210.7,450
16,2023-07-04,函館,2500,ダート,良,8,馬0016_08,2,騸,479,-1,騎手23,調教師24,12.4,6,3,210.7,750
17,2020-09-17,札幌,2100,ダート,良,1,馬0017_01,7,牝,516,4,騎手10,調教師39,50.0,9,8,188.1,0
17,2020-09-17,札幌,2100,ダート,良,2,馬0017_02,5,牡,455,4,騎手12,調教師33,1.6,1,1,186.1,3000
17,2020-09-17,札幌,2100,ダート,良,3,馬0017_03,7,牡,487,6,騎手06,調教師09,61.3,10,3,186.6,750
17,2020-09-17,札幌,2100,ダート,良,4,馬0017_04,7,牡,486,-1,騎手26,調教師11,666.1,13,13,189.4,0
17,2020-09-17,札幌,2100,ダート,良,5,馬0017_05,6,牝,476,-3,騎手07,調教師36,23.1,5,6,187.6,0
17,2020-09-17,札幌,2100,ダート,良,6,馬0017_06,2,牝,491,-1,騎手28,調教師35,138.0,12,12,189.4,0
17,2020-09-17,札幌,2100,ダート,良,7,馬0017_07,3,牡,491,0,騎手05,調教師28,71.6,11,7,187.7,0
17,2020-09-17,札幌,2100,ダート,良,8,馬0017_08,6,牝,431,-11,騎手22,調教師14,41.1,8,11,188.7,0
17,2020-09-17,札幌,2100,ダート,良,9,馬0017_09,4,牡,468,3,騎手11,調教師23,9.4,3,4,186.8,450
17,2020-09-17,札幌,2100,ダート,良,10,馬0017_10,3,牝,473,-12,騎手15,調教師19,11.0,4,9,188.6,0
17,2020-09-17,札幌,2100,ダート,良,11,馬0017_11,3,牝,458,4,騎手04,調教師48,4.7,2,2,186.2,1200
17,2020-09-17,札幌,2100,ダート,良,12,馬0017_12,3,騸,458,-1,騎手16,調教師40,23.1,6,10,188.8,0
17,2020-09-17,札幌,2100,ダート,良,13,馬0017_13,7,牡,490,3,騎手17,調教師04,23.4,7,5,187.3,300
18,2019-08-13,京都,1400,ダート,重,1,馬0018_01,6,牡,429,1,騎手16,調教師39,93.9,8,6,145.3,0
18,2019-08-13,京都,1400,ダート,重,2,馬0018_02,5,牝,493,6,騎手20,調教師50,11.5,5,3,144.3,750
18,2019-08-13,京都,1400,ダート,重,3,馬0018_03,6,牝,426,-1,騎手24,調教師45,8.1,4,5,145.2,300
18,2019-08-13,京都,1400,ダート,重,4,馬0018_04,5,牡,468,-6,騎手05,調教師24,41.9,7,8,145.9,0
18,2019-08-13,京都,1400,ダート,重,5,馬0018_05,4,牡,495,0,騎手01,調教師41,1.9,1,2,144.6,1200
18,2019-08-13,京都,1400,ダート,重,6,馬0018_06,5,牡,483,-2,騎手15,調教師26,4.0,2,1,143.8,3000
18,2019-08-13,京都,1400,ダート,重,7,馬0018_07,7,騸,492,3,騎手10,調教師43,215.9,9,9,146.1,0
18,2019-08-13,京都,1400,ダート,重,8,馬0018_08,2,牝,464,6,騎手13,調教師15,4.8,3,4,145.2,450
18,2019-08-13,京都,1400,ダート,重,9,馬0018_09,5,牝,452,6,騎手30,調教師23,38.4,6,7,145.7,0
19,2018-09-29,阪神,3000,ダート,不良,1,馬0019_01,3,牡,461,2,騎手25,調教師39,8.8,5,5,241.2,300
19,2018-09-29,阪神,3000,ダート,不良,2,馬0019_02,2,牡,469,4,騎手29,調教師40,61.9,9,9,242.4,0
19,2018-09-29,阪神,3000,ダート,不良,3,馬0019_03,3,牡,522,-8,騎手13,調教師48,3.9,2,2,240.3,1200
